upstox_id,tradingsymbol,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,face_value
BSE_EQ|INE891B01012,DCMFINSERV,EQUITY,BSE_EQ,DCMFINSERV,DCM Financial Services Limited,21-MAY-1997,INE891B01012,10
BSE_EQ|INE848E01016,NHPC,EQUITY,BSE_EQ,NHPC,NHPC Limited,01-SEP-2009,INE848E01016,10
BSE_EQ|INE491J01022,ASKAUTOLTD,EQUITY,BSE_EQ,ASKAUTOLTD,ASK Automotive Limited,15-NOV-2023,INE491J01022,2
BSE_EQ|INE699B01027,SAMBHAAV,EQUITY,BSE_EQ,SAMBHAAV,Sambhaav Media Limited,05-JUN-1996,INE699B01027,1
BSE_EQ|INE615I01010,GLOBUSSPR,EQUITY,BSE_EQ,GLOBUSSPR,Globus Spirits Limited,23-SEP-2009,INE615I01010,10
BSE_EQ|INE142M01025,TATATECH,EQUITY,BSE_EQ,TATATECH,Tata Technologies Limited,30-NOV-2023,INE142M01025,2
BSE_EQ|INE274J01014,OIL,EQUITY,BSE_EQ,OIL,Oil India Limited,30-SEP-2009,INE274J01014,10
BSE_EQ|INE717W01049,GANDHAR,EQUITY,BSE_EQ,GANDHAR,Gandhar Oil Refinery (India) Limited,30-NOV-2023,INE717W01049,2
BSE_EQ|INE384A01010,RANEHOLDIN,EQUITY,BSE_EQ,RANEHOLDIN,Rane Holdings Limited,24-SEP-1997,INE384A01010,10
BSE_EQ|INE289B01019,GICHSGFIN,EQUITY,BSE_EQ,GICHSGFIN,GIC Housing Finance Limited,08-MAY-1996,INE289B01019,10
BSE_EQ|INE020D01022,BAIDFIN,EQUITY,BSE_EQ,BAIDFIN,Baid Finserv Limited,20-JAN-2023,INE020D01022,2
BSE_EQ|INE946H01037,VIPULLTD,EQUITY,BSE_EQ,VIPULLTD,Vipul Limited,23-APR-2015,INE946H01037,1
BSE_EQ|INE583D01011,UGROCAP,EQUITY,BSE_EQ,UGROCAP,Ugro Capital Limited,11-AUG-2021,INE583D01011,10
BSE_EQ|INE399K01017,RTNPOWER,EQUITY,BSE_EQ,RTNPOWER,RattanIndia Power Limited,30-OCT-2009,INE399K01017,10
BSE_EQ|INE296G01013,MUTHOOTCAP,EQUITY,BSE_EQ,MUTHOOTCAP,Muthoot Capital Services Limited,24-AUG-2015,INE296G01013,10
BSE_EQ|INE563J01010,ASTEC,EQUITY,BSE_EQ,ASTEC,Astec LifeSciences Limited,25-NOV-2009,INE563J01010,10
BSE_EQ|INE250K01012,DLINKINDIA,EQUITY,BSE_EQ,DLINKINDIA,D-Link (India) Limited,18-DEC-2009,INE250K01012,2
BSE_EQ|INE121E01018,JSWENERGY,EQUITY,BSE_EQ,JSWENERGY,JSW Energy Limited,04-JAN-2010,INE121E01018,10
BSE_EQ|INE797F01020,JUBLFOOD,EQUITY,BSE_EQ,JUBLFOOD,Jubilant Foodworks Limited,08-FEB-2010,INE797F01020,2
BSE_EQ|INE893I01013,VASCONEQ,EQUITY,BSE_EQ,VASCONEQ,Vascon Engineers Limited,15-FEB-2010,INE893I01013,10
BSE_EQ|INE085J01014,THANGAMAYL,EQUITY,BSE_EQ,THANGAMAYL,Thangamayil Jewellery Limited,19-FEB-2010,INE085J01014,10
BSE_EQ|INE980O01024,JYOTICNC,EQUITY,BSE_EQ,JYOTICNC,Jyoti CNC Automation Limited,16-JAN-2024,INE980O01024,2
BSE_EQ|INE847C01020,ROSSELLIND,EQUITY,BSE_EQ,ROSSELLIND,Rossell India Limited,25-SEP-2012,INE847C01020,2
BSE_EQ|INE628A01036,UPL,EQUITY,BSE_EQ,UPL,UPL Limited,23-JAN-2004,INE628A01036,2
BSE_EQ|INE566K01011,ISFT,EQUITY,BSE_EQ,ISFT,Intrasoft Technologies Limited,12-APR-2010,INE566K01011,10
BSE_EQ|INE529F01035,SIGIND,EQUITY,BSE_EQ,SIGIND,Signet Industries Limited,29-AUG-2018,INE529F01035,10
BSE_EQ|INE516K01024,GOENKA,EQUITY,BSE_EQ,GOENKA,Goenka Diamond and Jewels Limited,16-APR-2010,INE516K01024,1
BSE_EQ|INE650K01021,SECURKLOUD,EQUITY,BSE_EQ,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,29-JAN-2014,INE650K01021,5
